stationcode,name,capacity,station_opening_hours,panne
5016,Thouin - Cardinal Lemoine,0,,True
11025,Froment - Bréguet,0,,True
16138,Saint-Cloud - Hippodrome,0,,True
10161,Gare de l'Est - Faubourg-Saint-Martin,0,,True
21328,Verger - Colonel Guichard,0,,True
5020,Institut du Monde Arabe - Saint-Germain,0,,True
18107,Chartres - La Charbonnière,0,,True
11027,Saint-Ambroise - Parmentier,0,,True
15042,Henry Farman,0,,True
42706,Roger Salengro - Fontainebleau,0,,True
35010,Hoche - Jean Lolive,0,,True
1119,Cossonnerie - Sébastopol,0,,True
16108,Sablons - Georges Mandel,0,,True
9005,Square d'Anvers,0,,True
11004,Charonne - Faubourg Saint-Antoine,2,,False
16124,Route de Sèvres - Porte de Bagatelle,0,,True
13045,Jean Colly - Tolbiac,0,,True
14034,Ouest - Château,0,,True
5119,Jussieu - Guy de la Brosse,0,,True
31705,Champeaux - Gallieni,0,,True
41207,Place du Général de Gaulle,0,,True
12011,Charenton - Place du Col Bourgoin,0,,True
22101,Gare Routière de Saint Cloud,0,,True
2009,Filles Saint-Thomas - Place de la Bourse,1,,False
9115,Milton - Manuel,0,,True
17047,Courcelles - Pierre Demours,0,,True
17046,Mac-Mahon - Brey,0,,True
17121,Square des Epinettes,0,,True
20118,Orteaux - Mouraud,0,,True
9117,Bellefond - Maubeuge,0,,True
9026,Jean-Baptiste Pigalle - La Bruyere,1,,False
32015,Gare RER de Saint-Denis,0,,True
8019,Naples - Rome,0,,True
42703,Fontainebleau - Edmond Michelet,0,,True
18017,Caulaincourt - Place Constantin Pecqueur,0,,True
18137,Poissonniers - Nord,0,,True
31013,Centenaire - Sorins,0,,True
11003,Keller - La Roquette,0,,True
41206,Place des Larris,0,,True
8015,Roquépine - Malesherbes,0,,True
31101,Jules Guesde - Laennec,0,,True
12129,Bois de Vincennes - Porte Jaune,0,,True
8011,Clapeyron - Moscou,0,,True
9036,Athènes - Clichy,0,,True
17023,Porte d'Asnières,0,,True
13109,Brillat-Savarin - Küss,0,,True
21217,Louis Rolland - République,0,,True
10165,Gare de l'Est - Place du 11 Novembre 1918,0,,True
13128,Quai de la Gare - Pont de Bercy,1,,False
17204,Paul Bodin - Clichy,1,,False
8116,Champs-Elysees - Bassano,0,,True
5024,Place Monge,0,,True
10021,Marché Saint-Quentin,0,,True
15129,Hôpital Necker,0,,True
21315,Jules Guesdes - Général de Gaulle,0,,True
21303,Jean Monnet - Iles,0,,True
14001,Edgar Quinet - Gaité,0,,True
26004,Gare RER les Grésillons,0,,True
4006,Bourdon - Pont Morland,0,,True
22301,Chausson - Gabriel Péri,0,,True
20006,Pyrénées - Plaine,0,,True
21953,Gare de Bellevue,0,,True
4103,Archives - Rivoli,0,,True
19129,Solitaires - Place des Fêtes,0,,True
22503,Joffre - Aigle,0,,True
22306,Place du 17 Octobre,0,,True
3003,Fille du Calvaire - Turenne,0,,True
4018,Saint-Bon - Rivoli,0,,True
23107,Gare de Sèvres - Ville d'Avray,0,,True
43403,Gare RER - Canadiens,0,,True
3007,Archives - Pastourelle,0,,True
21119,Belfort - Victor Hugo,0,,True
16010,Belles Feuilles - Place de Mexico,0,,True
19046,Porte de Pantin.,0,,True
34013,Blanqui - Docteur Bauer,0,,True
21011,Silly - Louis Blériot,0,,True
42022,Gare RER - Maurice Grandcoing,0,,True
14004,Port Royal - Hôpital Cochin,0,,True
35013,Guillaume Tell - Parc Henri Barbusse,0,,True
13036,Olympiades,6,,False
43004,Montreuil - République,0,,True
5033,Saint-Séverin - Saint-Michel,0,,True
17110,Legendre - Nollet,2,,False
18101,Championnet.,0,,True
6028,Quatre Vents - Carrefour de l'Odéon,0,,True
13055,M.- A. Lagroua Weill-Hallé -  F. Dolto,0,,True
17126,Hélène et François Missoffe - Emile Borel,0,,True
34005,Adrien Lesesne - Docteur Bauer,0,,True
7023,Bourdonnais - Tour Eiffel,0,,True
1003,Saint-Denis - Rivoli,0,,True
21404,Jean Jaurès - Gare de Clamart,0,,True
4104,Sebastopol - Rambuteau,1,,False
12010,Daumesnil - Picpus,0,,True
21010,Silly - Galliéni,0,,True
7003,Square Boucicaut,0,,True
19033,Cambrai - Benjamin Constant,1,,False
92002,Théâtre des Amandiers - Palais des sports,0,,True
40016,Sarrazins - Saussure,0,,True
8048,Marceau - Chaillot,0,,True
9038,Douai - Bruxelles,0,,True
18203,Lamarck - Saint-Ouen,0,,True
92007,Pesaro - Préfecture,0,,True
11023,Saint-Maur - Roquette,0,,True
21212,Marne - Germain Dardan,0,,True
8017,Rocher - Laborde,0,,True
14106,Marc Sangnier - Porte de Vanves,0,,True
8045,Place de la Reine Astrid,0,,True
17013,Legendre - Dulong,0,,True
7102,Mairie du 7ème,0,,True
42504,Gare RER de Gentilly,0,,True
18201,Tristan Tzara -  Tchaïkovski,0,,True
18012,Stephenson - Doudeauville,2,,False
16121,Jardin d'Acclimatation,0,,True
33009,Félix Faure - Sadi Carnot,0,,True
18005,Tardieu - Chappe,0,,True
2010,Uzès - Montmartre,0,,True
13102,Pitié-Salpêtrière,0,,True
10015,Lucien Sampaix - Récollets,0,,True
22001,Château - Bineau,0,,True
31007,Paris - Désiré Préaux,25,,False
19040,Belleville - Télégraphe,0,,True
18029,Emile Blemont - Poteau,0,,True
35017,Toffier Decaux - Cartier Bresson,0,,True
14002,Edgar Quinet - Raspail,0,,True
18033,Belliard - Damrémont,0,,True
9017,Lallier - Trudaine,0,,True
13010,Place d'Italie - Vincent Auriol,0,,True
17016,Brochant - Square des Batignolles,0,,True
18019,Square Raymond Souplex,4,,False
20103,Le Vau - Maurice Bertaux,0,,True
12154,Square Georges Melies,0,,True
16041,Versailles - Claude Terrasse,0,,True
23005,Gare de Clichy-Levallois,0,,True
20039,Belleville - Couronnes,0,,True
44002,Paul Vaillant-Couturier - Gare RER,0,,True
31025,Paul Signac - Aristide Briand,0,,True
17015,Place de Lévis,0,,True
4002,Marché aux fleurs,0,,True
17003,Jacques Kellner - Saint-Ouen,5,,False
15311,Quai du Président Roosevelt - Pont Aval,0,,True
44016,Balzac - Olympes de Gouges,0,,True
9006,Dunkerque - Trudaine,0,,True
10008,Cité Riverin - Château d'Eau,0,,True
8117,Place de la Madeleine - Royale,0,,True
18202,Diane Arbus,0,,True
9009,Square Montholon,0,,True
4014,Blancs-Manteaux - Archives,0,,True
19012,Lally-Tollendal - Armand Carrel,0,,True
42704,Mairie du Kremlin-Bicêtre,0,,True
1012,Jean-Jacques Rousseau - Deux Ecus,0,,True
12166,Parc Floral du Bel Air,25,,False
22603,Place de la Division Leclerc,1,,False
17202,Mariotte - Batignolles,0,,True
8018,Saint-Augustin,0,,True
21329,Gare - Aristide Briand,0,,True
14005,René Coty - Place Denfert-Rochereau,0,,True
6020,Place Saint-André des Arts,0,,True
22703,Place Jean Mermoz,0,,True
19204,Rampal - Belleville,0,,True
11014,Place de la Nation - Taillebourg,0,,True
35002,Jean Jaurès - Presles,0,,True
15122,Place Charles Vallin,0,,True
27004,Gare de la Garenne-Colombes,0,,True
16107,Benjamin Godard - Victor Hugo,0,,True
17041,Guersant - Gouvion-Saint-Cyr,0,,True
17026,Jouffroy d'Abbans - Wagram,0,,True
18111,Félix Ziem - Armand Gauthier,0,,True
17004,Legendre - Clichy,0,,True
20042,Pyrénées - Emmery,0,,True
14124,David Weill - Parc Montsouris,0,,True
42021,Raspail - Manufacture des Oeillets,0,,True
18009,Jean-François Lépine - Stephenson,0,,True
16008,Galilée - Kléber,0,,True
19029,Seine - Flandre,0,,True
20119,Square des Saint-Simoniens,0,,True
15029,Emeriau - Place de Brazzaville,0,,True
12032,Porte Dorée,0,,True
51003,Hôtel de Ville d'Argenteuil,0,,True
13043,Dunois - Clisson,0,,True
14122,Colonel Monteil - Brune,0,,True
6016,Danton - Serpente,0,,True
16021,François Ponsard - La Muette,0,,True
19127,Aubervilliers - Curial,0,,True
1120,Lavandieres Sainte Opportune - Rivoli,0,,True
11043,Place Pasdeloup,0,,True
31023,Place François Mitterand,0,,True
12041,Bois de Vincennes.,7,,False
2110,Jeûneurs - Mulhouse,0,,True
7026,Place de Finlande,0,,True
8105,François 1er - Lincoln,0,,True
8049,Georges V - François 1er,0,,True
17005,Brochant - Clichy,0,,True
31026,Demi-Lune - Aristide Briand,0,,True
21203,Place Jules Ferry,0,,True
15023,La Motte-Picquet - Grenelle,0,,True
9004,Gérando - Rochechouart,0,,True
32601,Porte des Lilas - Faidherbe,1,,False
9034,Godot de Mauroy - Madeleine,0,,True
12015,Place de la Nation - Picpus,0,,True
12037,Reuilly - Daumesnil,0,,True
20024,Gambetta - Père Lachaise,0,,True
6104,Herschel - Observatoire,0,,True
16102,Pergolèse - Marbeau,0,,True
3011,Turbigo - Réaumur,0,,True
14022,Didot - Mariniers,0,,True
19130,Place Paul Delouvrier,0,,True
32019,Place du 8 mai 1945.,0,,True
18015,Custine - Ramey,0,,True
1017,Saint-Honoré - 29 juillet,5,,False
6026,Saint-Placide - Cherche Midi,0,,True
12016,Saint-Mande - Picpus,3,,False
11111,Léon Frot - Charonne,0,,True
13120,Pierre Joseph Desault,2,,False
20005,Reynaldo Hahn - Lagny,0,,True
15014,Volontaires - Vaugirard,3,,False
21027,Fief - République,0,,True
19001,Crimée - Ourcq,0,,True
13013,Saint-Marcel - Hôpital,0,,True
24010,Charles de Gaulle - Rue de l'Alma,0,,True
32023,Guy Môquet - Jean Moulin,0,,True
12001,Bastille - Biscornet,0,,True
26008,Henri Barbusse - Bourguignons,0,,True
31301,Gare RER,0,,True
13051,Halle Freyssinet - Parvis Alan Turing,0,,True
8038,François 1er - Montaigne,3,,False
11102,Alexandre Dumas - Voltaire,0,,True
13118_relais,Regnault - Patay,0,,True
1022,Danielle Casanova - Place Vendôme,0,,True
19203,Pailleron - Bouret,0,,True
17025,Chazelles - Courcelles,0,,True
20143,Ramponeau - Belleville,0,,True
33017,Anatole France - President Roosevelt,0,,True
15104,Hôpital Européen Georges Pompidou,0,,True
19103,Manin - Carrières d'Amérique,0,,True
41209,Cimetière de Fontenay-sous-Bois,0,,True
41601,Général De Gaulle - Alouette,0,,True
11042,Grand Prieuré - Crussol,1,,False
26007,Square Gilbert Thomain,0,,True
32303,Gaston Roussel - Commune de Paris,0,,True
5021,Jussieu - Fossés Saint-Bernard,0,,True
25008,Place du 8 Mai 1945,0,,True
42707,Place Jean-Baptiste Clément,0,,True
16129,Ceinture du Lac Inferieure - Saint-Cloud,0,,True
41604,Lagny - Joffre,0,,True
14139,Pierre Larousse - Raymond Losserand,0,,True
15038,Place Adolphe Cherioux - Vaugirard,0,,True
44012,Génie - Mozart,0,,True
19009,Cité des Sciences et de l'Industrie,0,,True
18113,Lepic - Armée d'Orient,0,,True
31703,Sadi Carnot - François Mitterrand,0,,True
15003,Gare Montparnasse - Vaugirard,0,,True
4110,Neuve Saint-Pierre - Beautreillis,0,,True
7020,Champ de Mars - Cler,0,,True
2001,Greneta - Sebastopol,0,,True
11048,Place Mireille Havet,0,,True
18114,Véron - Lepic,0,,True
35015,Averroès - Aimé Césaire,0,,True
10152,Gare du Nord - Place de Valenciennes,0,,True
10037,Quai de Valmy,0,,True
21316,Cimetière d'Issy-les-Moulineaux,0,,True
21219,Amaury Duval - Gabriel Péri,0,,True
4001,Arcole - Notre-Dame,0,,True
43001,Paris - Laitières,0,,True
12007,Gare de Lyon - Chalon,0,,True
25001,Colmar - Victor Hugo,0,,True
47001,Place de la Gare,0,,True
44101,Place Mongolfier,0,,True
6027,Blaise-Desgoffe - Vaugirard,0,,True
15005,Place Jacques et Thérèse Tréfouël,0,,True
21306,Place Lafayette,0,,True
9024,Taitbout - La Fayette,0,,True
15006,Cherche-Midi - Hôpital Necker,0,,True
14135,Jourdan - Cité Universitaire,0,,True
4021,Centre Georges Pompidou,0,,True
19002,Centquatre,0,,True
21506,Maurice Payret-Dortail,0,,True
19111,Cesaria Evora - Rosa Parks,2,,False
42211,Séminaire de Conflans - Liberté,12,,False
16044,Porte de Saint Cloud - Parc des Princes,0,,True
19202,Marseillaise - Grenade,0,,True
1008,Les Halles - Saint-Eustache,0,,True
9019,Victor Massé - Jean-Baptiste Pigalle,0,,True
19006,Mathis - Flandre,0,,True
24101,Place Charles de Gaulle,0,,True
12123,Château de Vincennes,0,,True
15024,Suffren - La Motte-Piquet,0,,True
14035,Maine - Jean Zay,0,,True
13023,Bobillot - Moulin des Prés,0,,True
20106,Mairie du 20ème,3,,False
20033,Etienne Dolet - Place Maurice Chevalier,0,,True
21510,Fontaine du Tertre - Calvaire,0,,True
51007,Résistance - Romain Rolland,0,,True
21511,Marcel Monge - Marcel Dassault,0,,True
20037,Gambetta - Saint Fargeau,0,,True
26011,Ménil - Argenteuil,0,,True
22602,Place Henri Dunant - Gare RER,0,,True
25010,Maréchal Leclerc de Hauteclocque - Marché Buzenval,0,,True
12165,Champs de Manoeuvre - Cartoucherie,0,,True
47007,Liberté - Vert-de-Maisons,0,,True
11037,Faubourg Du Temple - Republique,0,,True
42004,Westermeyer - Paul Vaillant-Couturier,0,,True
15202,Bracion - Périphérique,0,,True
13101,Croulebarde - Corvisart,2,,False
8103,Artois - Berri,0,,True
43009,Place Jean-Spire-Lemaître,0,,True
10115,Granges aux Belles,5,,False
17008,Porte Pouchet-Bessières,0,,True
11047,Amelot - Saint-Sébastien,0,,True
14020,Cimetière de Montrouge,0,,True
44006,Concorde - Stalingrad,0,,True
11113,Richard Lenoir - Republique,0,,True
19101,Square Simon Bolivar,3,,False
21005,Hôtel de Ville de Boulogne Billancourt,0,,True
15046,Parc Georges Brassens - Brancion,3,,False
21301,Saint-Vincent - Verdun,0,,True
9032,Mathurins - Auber,0,,True
32026,Leroy des Barres - Médiathèque,0,,True
8035,Bienfaisance - Place de Narvik,0,,True
35018,Ancien Canal - Hélène Brion,0,,True
6013,Jacques Callot - Mazarine,6,,False
15010,Square Cambronne,0,,True
22505,Mairie de La Garenne Colombes,0,,True
42503,Vladimir Ilitch Lénine - Andrée Chedid,0,,True
11114,Ledru-Rollin - Charonne,0,,True
20021,Indre - Prairies,0,,True
19109,Tanger - Place du Maroc,0,,True
9031,Provence - Chaussée d'Antin,0,,True
11006,Ledru-Rollin - Place du Père Chaillet,0,,True
47005,Ecole Vétérinaire,0,,True
23007,Président Wilson - Jean Jaures,0,,True
7008,Villersexel - Saint-Germain,0,,True
32018,Franciade - Gabriel Péri,0,,True
13114,Nationale - Marcel Duchamp,0,,True
14116,Romain Rolland,0,,True
2014,Daunou - Louis le Grand,0,,True
31017,Jean Moulin - Paul Doumer,0,,True
13047,Boutroux - Porte de Vitry,0,,True
15019,Paul Barruel - Vaugirard,0,,True
11031,Jacquard - Ternaux,0,,True
13515,Auguste Blanqui - Glacière,0,,True
16009,Saint-Didier - Raymond Poincaré,0,,True
17039,Place Saint-Ferdinand,0,,True
42305,Vanne - Saussaies,0,,True
23902,Gallieni - Lycée Charles Petitet,0,,True
16020,Place de la Porte de Passy,0,,True
42003,Place de l'Insurrection d'Août 1944,0,,True
13032,Italie - Jardin Joan Miro,0,,True
43010,La Jarry - Place Diderot,0,,True
10162,Alexandre Parodi - Quai de Valmy,0,,True
27005,Gare du Stade,0,,True
17111,Lemercier - Cardinet,0,,True
14011,Place des Droits de l'Enfant,0,,True
20034,Sorbier - Ménilmontant,0,,True
24006,Adolphe Lalyre - Armand Silvestre,0,,True
35012,Candale - Mehul,0,,True
4101,Bastille - Beaumarchais,0,,True
27001,Square Victor Basch,0,,True
1015,Place André Malraux,0,,True
12017,Saint-Mandé - Docteur Arnold Netter,0,,True
16140,Hippodrome de Longchamp,0,,True
21954,Val-Fleury,0,,True
23201,Avenir,0,,True
23203,Division Leclerc - Kléber,0,,True
13205,Choisy - Pointe d'Ivry,0,,True
21501,Pont de Suresnes,0,,True
8057,Hoche - Tilsitt,0,,True
40010,Haut du Mont-Mesly,0,,True
40013,Hôtel de Ville de Créteil,0,,True
23011,Bineau - Louise Michel,0,,True
32004,Wilson - Landy,0,,True
4010,Saint-Antoine Sévigné,0,,True
11104,Charonne - Robert et Sonia Delaunay,0,,True
19027,Serrurier,0,,True
17040,Pereire - Ternes,0,,True
11002,Roquette - Thiéré,0,,True
14138,Porte de Vanves,0,,True
44013,Edouard Tremblay - Julian Grimaux,0,,True
21015,Nationale - Place Jules Guesde,0,,True
22402,Jean Jaurès - Salvador Allende,0,,True
43005,Gare RER de Vincennes,0,,True
22003,Beffroy,0,,True
13050,Quai Panhard et Levassor,0,,True
32302,Chemin Vert - Fraternité,0,,True
16040,Exelmans - Michel-Ange,0,,True
14036,Boulard - Daguerre,0,,True
17037,Bayen - Pereire,3,,False
33001,Victor Hugo - Magasins Généraux,0,,True
8055,Courcelles - Place des Ternes,7,,False
12024,Gare de Bercy,0,,True
14104,Boyer-Barret - Raymond Losserand,0,,True
14018,Porte d'Orléans,0,,True
18109,Pajol - Riquet,0,,True
35003,Gabrielle Josserand - Edouard Vaillant,0,,True
16029,Maison de Radio - France,5,,False
19041,Belleville - Pyrénées,1,,False
23403,Chateau,0,,True
19023,Manin - Simon Bolivar,0,,True
23008,Hôtel de Ville de Levallois Perret,0,,True
10164,Claude Vellefaux - Sambre et Meuse,0,,True
4109,Mornay - Sully,0,,True
2101,Bachaumont - Montmartre,0,,True
21952,Place Tony de Graaff,0,,True
11110,Roquette - Folie Regnault,8,,False
14128,Gergovie - Vercingétorix,0,,True
17001,Guy Môquet - Saint-Ouen,4,,False
21708,Marcel Yol - Jullien,0,,True
41210,Hôtel de ville de Fontenay-sous-Bois,0,,True
21702,Gare SNCF Vanves-Malakoff,0,,True
15052,Convention - Vaugirard,0,,True
8001,Petit Palais,0,,True
20007,Buzenval - Avron,0,,True
15030,Emeriau - Beaugrenelle,0,,True
35007,Benjamin Delessert - Jean Lolive,0,,True
13044,Place Jeanne d'Arc,0,,True
41205,Maréchal Joffre - Verdun,0,,True
44005,Place Saint-Just,0,,True
15011,Cambronne - Villa Croix Nivert,0,,True
5115,Buffon - Jardin des Plantes,0,,True
21707,Square Etienne Jarousse,0,,True
21402,Place Aimé Césaire,0,,True
33012,Landy - Heurtault,0,,True
10032,Claude Vellefaux - Hôpital Saint-Louis,0,,True
48004,Maxime Gorki - Louis Aragon,0,,True
5015,Epée de Bois - Mouffetard,0,,True
20001,Place de la Nation - Charonne,0,,True
18034,Leibniz - Jean Dollfus,0,,True
14137,Maurice d'Ocagne - General Maudhuy,0,,True
12002,Lacuée - Lyon,0,,True
15111,Olivier de Serres - Leriche,2,,False
48005,Eugène Varlin - Place de la Paix,0,,True
42026,Barbès - Monique Maunoury,0,,True
22601,Marx Dormoy - Château Sainte-Barbe,0,,True
16139,Suresnes - Muette à Neuilly,0,,True
23104,Quai de Sèvres - Manufacture Nationale,0,,True
20048,Bagnolet - Place Saint-Blaise,0,,True
13049,Vincent Auriol - Louise Weiss,0,,True
13015,Chevaleret - Louise Weiss,0,,True
20020,Pyrénées - Charles Renouvier,0,,True
12008,Hector Malot - Daumesnil,0,,True
16023,Passy - Place du Costa Rica,0,,True
19123,Metz - Marne,0,,True
25009,Place des Arts - Jean Mermoz,0,,True
41101,Paul Doumer - Stalingrad,0,,True
18023,Ordener - Poissonniers,0,,True
11020,Belfort - Voltaire,0,,True
21213,Vanne - Général de Gaulle,0,,True
10031,Louis Blanc - Aqueduc,0,,True
15026,Bir Hakeim,0,,True
6001,Institut de France,0,,True
12127,Tremblay - Lac des Minimes,0,,True
8004,Malesherbes - Place de la Madeleine,0,,True
6108,Saint-Romain - Cherche-Midi,0,,True
40011,Bas du Mont-Mesly,0,,True
12109,Mairie du 12ème,0,,True
21326,Moulin de Pierre - Abbé Grégoire,0,,True
7018,Ségur - d'Estrées,0,,True
21323,Charlot - Stade Gabriel Voisin,0,,True
19015,Thionville - Ourcq,0,,True
26003,Argenteuil - Voltaire,0,,True
17043,Belidor - Gouvion-Saint-Cyr,26,,False
10016,Récollets - Square Villemin,0,,True
33102,Gabriel Péri - Francisco Ferrer,0,,True
31003,Paris - Emile Zola,0,,True
10014,Marseille - Beaurepaire,0,,True
12204,Prague - Théophile Roussel,1,,False
32016,Place de la Porte de Paris,0,,True
19205,Simon Bolivar - Henri Turot,0,,True
28001,Richard Wallace - Place du 8 Mai 1945,0,,True
18110,Departement - Pajol,0,,True
19005,Flandre - Riquet,0,,True
43402,Place de Verdun,0,,True
21305,Place Jacques Madaule,0,,True
33003,Bordier - Félix Faure,0,,True
27002,Parc Pierre Lagravère,0,,True
17007,Navier - Epinettes,0,,True
18020,Francoeur - Marcadet,0,,True
5116,Place Valhubert,0,,True
13026,Place Jean Delay,0,,True
21105,Morice - Général Leclerc,0,,True
16032,Eglise d'Auteuil,0,,True
9023,Laffitte - Italiens,0,,True
18049,Porte d'Aubervilliers,0,,True
21014,Hameau Fleuri - Marché,0,,True
15070,Balard - Montagne de la Fage,0,,True
10010,Place Jacques Bonsergent,0,,True
7016,Surcouf - Université,2,,False
11019,Charonne - Philippe-Auguste,0,,True
9015,Lamartine - Faubourg Montmartre,0,,True
19113,Pré Saint-Gervais - Lilas,0,,True
13117,Stade Georges Carpentier,0,,True
10012,Vinaigriers - Magenta,0,,True
21204,Estienne d'Orves - Henri Ginoux,0,,True
